Array,SimSub,AIC_TD,AIC_TDRS,RealAlphaPos,RealAlphaNeg,RealBeta,RecAlphaPos,RecAlphaNeg,RecBeta
2,733,24.88682449,25.12613067,0.744029602,0.611309518,26.68626304,0.71120984,0.589500435,25.55763853
2,734,123.1676701,119.5082691,0.931309662,0.569891052,5.448928861,0.725941697,0.421262366,4.470420313
2,735,59.49758781,55.81240881,0.724899317,0.418226068,16.45458514,0.623956808,0.442693433,14.79583215
2,736,27.24722129,25.73859615,0.58972183,0.540840364,26.48630763,0.696892076,0.541839531,22.02025219
2,737,101.4351175,103.4730183,0.538521566,0.666470011,5.284679076,0.652613245,0.692527537,6.189634713
2,738,92.90049784,74.32198536,0.242203089,0.109451968,11.75832874,0.3976832,0.179609024,10.2802768
2,739,118.4063963,96.59579039,0.149627494,0.998675821,7.413351204,0.243200224,0.849625258,6.697946349
2,740,52.13632795,46.62140237,0.471285443,0.701889874,29.82840096,0.532080485,0.743108481,16.9903647
2,741,92.78105646,66.48863804,0.447571396,0.616526865,13.72353232,0.409001611,0.601978292,12.92545604
2,742,31.21889422,33.05197439,0.943847006,0.985440905,24.98361615,0.799672018,0.959519098,16.24625387
2,743,25.30993609,28.00328231,0.931945173,0.893541733,17.31390979,0.863322248,0.886960783,17.26813442
2,744,130.5696069,131.3666798,0.594141605,0.545505968,4.138100641,0.468436398,0.686238596,3.919367178
2,745,112.1483268,47.24984555,0.259592933,0.8517081,14.46190755,0.239809361,0.820037593,15.71097062
