subj,trialExp,trialRoom,rt,signedPE,reward,condition,imageShown,estimate,absPE,risk,signedErr,absErr,learningRate,lrcat,deck,exp,scenetype,alphapos,alphaneg,AsymmIdx,modval,modelrpe,AbsRPE,PositiveRPE
A10LQ8RUWDUI5U,24,24,10102,15,85,lrfirst,static/images/Outdoor_72.jpg,70,15,low,-10,10,1,10,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.783394987197021,0.0666050128029785,0.0666050128029785,1
A10LQ8RUWDUI5U,25,25,7016,-10,15,lrfirst,static/images/Indoor_78.jpg,25,10,low,5,5,1.5,-10,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.201760034036627,-0.051760034036627,0.051760034036627,0
A10LQ8RUWDUI5U,26,26,11020,20,30,lrfirst,static/images/Indoor_10.jpg,10,20,low,-10,10,0,10,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.176486897437537,0.123513102562463,0.123513102562463,1
A10LQ8RUWDUI5U,27,27,8894,-15,70,lrfirst,static/images/Outdoor_84.jpg,85,15,low,5,5,0.333333333333333,-10,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.819836775432576,-0.119836775432576,0.119836775432576,0
A10LQ8RUWDUI5U,28,28,7031,10,90,lrfirst,static/images/Outdoor_26.jpg,80,10,low,0,0,NaN,10,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.761323460063447,0.138676539936553,0.138676539936553,1
A10LQ8RUWDUI5U,29,29,7213,0,10,lrfirst,static/images/Indoor_37.jpg,10,0,low,-10,10,NaN,NaN,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.244064969094274,-0.144064969094274,0.144064969094274,0
A10LQ8RUWDUI5U,30,0,11138,10,20,lrfirst,static/images/Outdoor_22.jpg,10,10,high,-10,10,2,10,20 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.5,-0.3,0.3,0
A10LQ8RUWDUI5U,31,1,8655,30,80,lrfirst,static/images/Indoor_55.jpg,50,30,high,-30,30,1,30,80 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.5,0.3,0.3,1
A10LQ8RUWDUI5U,32,2,7004,-30,0,lrfirst,static/images/Outdoor_36.jpg,30,30,high,10,10,0.666666666666667,-30,20 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.353517465340887,-0.353517465340887,0.353517465340887,0
A10LQ8RUWDUI5U,33,3,9274,-20,60,lrfirst,static/images/Indoor_13.jpg,80,20,high,0,0,1,-10,80 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.664139844894339,-0.0641398448943388,0.0641398448943388,0
A10LQ8RUWDUI5U,34,4,7226,20,30,lrfirst,static/images/Outdoor_61.jpg,10,20,high,-10,10,0,10,20 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.180903684109559,0.119096315890441,0.119096315890441,1
A10LQ8RUWDUI5U,35,5,8273,30,40,lrfirst,static/images/Outdoor_53.jpg,10,30,high,-10,10,0.666666666666667,30,20 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.246065186835373,0.153934813164627,0.153934813164627,1
A10LQ8RUWDUI5U,36,6,8792,10,70,lrfirst,static/images/Indoor_35.jpg,60,10,high,-20,20,1,10,80 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.632821954718455,0.067178045281545,0.067178045281545,1
A10LQ8RUWDUI5U,37,7,10224,30,100,lrfirst,static/images/Indoor_40.jpg,70,30,high,-10,10,0,30,80 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.669577267827847,0.330422732172153,0.330422732172153,1
A10LQ8RUWDUI5U,38,8,9697,-20,10,lrfirst,static/images/Outdoor_48.jpg,30,20,high,10,10,0,-10,20 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.330287974690976,-0.230287974690976,0.230287974690976,0
A10LQ8RUWDUI5U,39,9,9963,20,90,lrfirst,static/images/Indoor_7.jpg,70,20,high,-10,10,1,10,80 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.850362387855516,0.0496376121444836,0.0496376121444836,1
A10LQ8RUWDUI5U,40,10,8695,-10,80,lrfirst,static/images/Indoor_38.jpg,90,10,high,10,10,1,-10,80 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.877520754383253,-0.0775207543832527,0.0775207543832527,0
A10LQ8RUWDUI5U,41,11,9497,-30,0,lrfirst,static/images/Outdoor_49.jpg,30,30,high,10,10,0.333333333333333,-30,20 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.217844087243483,-0.217844087243483,0.217844087243483,0
A10LQ8RUWDUI5U,42,12,9995,-10,10,lrfirst,static/images/Outdoor_80.jpg,20,10,high,0,0,2,-10,20 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.111476240377061,-0.0114762403770615,0.0114762403770615,0
A10LQ8RUWDUI5U,43,13,9371,20,100,lrfirst,static/images/Indoor_17.jpg,80,20,high,0,0,-4,10,80 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.839669299080768,0.160330700919232,0.160330700919232,1
